_id,createdAt,failedAt,failedAtDate,unitNumber,hostName,failureReason,currentTemp,setpointTemp,minSupplyTemp,runStartTime,runEndTime,runDurationMin
685e757e08ecde81bd5ca27f,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,grand-plantation,stage_1_fail,68.5,69,63,2025-06-26T14:20:00.000Z,2025-06-26T15:53:54.000Z,93.9
685e757e08ecde81bd5ca2b1,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,epic-foxvalley,stage_2_fail,72.8,72,71,2025-06-26T12:00:08.000Z,2025-06-26T15:59:35.000Z,239.4
685e757e08ecde81bd5ca2c0,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,gwth-ellicott,stage_1_fail,70.5,70,63,2025-06-26T12:00:43.000Z,2025-06-26T15:59:47.000Z,239.1
685e757e08ecde81bd5ca2c3,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,gwth-gaithersburg,stage_1_fail,70.7,70,57,2025-06-26T12:00:12.000Z,2025-06-26T15:58:29.000Z,238.3
685e757e08ecde81bd5ca2c8,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,gwth-landover,stage_2_fail,75.9,72,80,2025-06-26T12:00:09.000Z,2025-06-26T15:58:43.000Z,238.6
685e757e08ecde81bd5ca2d1,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,gwth-salisbury,stage_2_fail,72.6,71,82,2025-06-26T12:00:18.000Z,2025-06-26T15:58:16.000Z,238
685e757e08ecde81bd5ca2e4,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,14,core-marlborough,stage_1_fail,70.6,70,50,2025-06-26T14:38:43.000Z,2025-06-26T15:35:36.000Z,56.9
685e757e08ecde81bd5ca2e6,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,core-maynard,stage_1_fail,69.4,70,69,2025-06-26T12:30:25.000Z,2025-06-26T13:16:54.000Z,46.5
685e757e08ecde81bd5ca2ef,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,core-wilmington,stage_1_fail,70.9,70,57,2025-06-26T12:00:19.000Z,2025-06-26T15:55:56.000Z,235.6
685e757e08ecde81bd5ca2f0,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,core-wilmington,stage_2_fail,76,70,73,2025-06-26T12:00:00.000Z,2025-06-26T15:59:19.000Z,239.3
685e757e08ecde81bd5ca2f8,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,gymit-watertown,stage_2_fail,70.6,70,59,2025-06-26T15:44:42.000Z,2025-06-26T15:53:02.000Z,8.3
685e757e08ecde81bd5ca322,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,epic-mt,stage_1_fail,72.3,72,65,2025-06-26T12:00:01.000Z,2025-06-26T15:59:57.000Z,239.9
685e757e08ecde81bd5ca338,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,8,epic-saginaw2,stage_2_fail,72.8,72,60,2025-06-26T12:00:13.000Z,2025-06-26T15:59:05.000Z,238.9
685e757e08ecde81bd5ca340,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,epic-southfield,stage_2_fail,73,72,72,2025-06-26T14:59:48.000Z,2025-06-26T15:59:49.000Z,60
685e757e08ecde81bd5ca349,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,epic-troy2,stage_2_fail,73,72,78,2025-06-26T12:00:36.000Z,2025-06-26T15:59:27.000Z,238.8
685e757e08ecde81bd5ca34b,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,epic-utica,stage_1_fail,72.4,72,60,2025-06-26T12:00:11.000Z,2025-06-26T15:48:11.000Z,228
685e757e08ecde81bd5ca351,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,epic-wayne,stage_1_fail,72.5,72,60,2025-06-26T12:00:50.000Z,2025-06-26T15:55:01.000Z,234.2
685e757e08ecde81bd5ca371,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,corp-raymond,stage_2_fail,69.9,68,68,2025-06-26T12:00:17.000Z,2025-06-26T15:58:59.000Z,238.7
685e757e08ecde81bd5ca37c,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,corp-middletownnj,stage_2_fail,75,70,76,2025-06-26T12:00:22.000Z,2025-06-26T15:31:30.000Z,211.1
685e757e08ecde81bd5ca39b,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,corp-medford,stage_2_fail,75.3,70,78,2025-06-26T12:01:00.000Z,2025-06-26T15:51:00.000Z,230
685e757e08ecde81bd5ca3b1,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,nat-lenoir,stage_2_fail,70.1,68,62,2025-06-26T12:00:37.000Z,2025-06-26T15:59:25.000Z,238.8
685e757e08ecde81bd5ca3c9,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,corp-greensburg,stage_2_fail,71.8,68,74,2025-06-26T12:00:03.000Z,2025-06-26T15:59:35.000Z,239.5
685e757e08ecde81bd5ca3e8,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,nat-elizabethtown,stage_2_fail,72.8,70,74,2025-06-26T12:00:33.000Z,2025-06-26T16:00:00.000Z,239.4
685e757e08ecde81bd5ca3eb,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,nat-elizabethtown,stage_2_fail,71.7,70,72,2025-06-26T12:00:13.000Z,2025-06-26T15:58:25.000Z,238.2
685e757e08ecde81bd5ca403,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,22,nat-marketst,stage_2_fail,78.5,68,80,2025-06-26T12:01:16.000Z,2025-06-26T15:59:50.000Z,238.6
